Date,Open,High,Low,Close,Volume,OpenInt
40900 ,27.175,27.223,27.175,27.223,3427,0
40904 ,27.165,27.184,27.105,27.175,5791,0
40906 ,27.038,27.175,26.999,27.038,9159,0
40907 ,27.155,27.281,27.067,27.252,5378,0
40911 ,28.087,28.087,27.766,27.766,1054,0
40912 ,27.708,27.854,27.708,27.776,423,0
40913 ,27.057,27.378,27.057,27.34,19515,0
40914 ,27.145,27.194,27.095,27.095,5929,0
40917 ,27.204,27.204,27.184,27.184,720,0
40918 ,27.533,27.533,27.175,27.533,309,0
40919 ,27.321,27.805,27.242,27.572,930,0
40920 ,27.291,27.388,27.291,27.388,720,0
40921 ,27.029,27.223,27.029,27.223,1515,0
40925 ,27.572,27.572,27.572,27.572,206,0
40926 ,27.874,27.874,27.874,27.874,411,0
40927 ,28.193,28.278,28.193,28.278,340,0
40928 ,28.203,28.203,28.203,28.203,411,0
40932 ,27.999,27.999,27.999,27.999,391,0
40934 ,28.558,28.558,28.298,28.493,33639,0
40938 ,27.824,28.009,27.824,28.009,471,0
40939 ,28.155,28.155,28.155,28.155,360,0
40940 ,28.813,28.823,28.773,28.773,16552,0
40941 ,28.888,28.888,28.888,28.888,142,0
40946 ,29.035,29.035,29.035,29.035,309,0
40947 ,28.968,29.113,28.851,28.888,10871,0
40949 ,28.879,28.879,28.823,28.823,340,0
40952 ,29.103,29.103,29.103,29.103,558,0
40954 ,29.189,29.248,29.189,29.248,930,0
40955 ,29.519,29.519,29.519,29.519,206,0
40956 ,29.472,29.472,29.406,29.406,732,0
40961 ,29.482,29.482,29.482,29.482,217,0
40966 ,29.462,29.519,29.462,29.519,774,0
40967 ,29.645,29.926,29.645,29.926,1162,0
40968 ,29.586,29.615,29.519,29.519,792,0
40969 ,29.733,29.743,29.733,29.743,740,0
40973 ,29.278,29.278,29.278,29.278,568,0
40974 ,28.493,28.493,28.493,28.493,124,0
40976 ,29.366,29.576,29.366,29.576,720,0
40977 ,29.491,29.509,29.434,29.462,1103,0
40980 ,29.416,29.416,29.386,29.386,421,0
40981 ,29.547,29.645,29.547,29.645,930,0
40984 ,29.996,29.996,29.897,29.897,1032,0
40988 ,29.819,29.819,29.819,29.819,513,0
40989 ,30.063,30.063,30.034,30.034,324,0
40995 ,30.51,30.51,30.374,30.414,6140,0
40996 ,30.226,30.226,30.054,30.054,437,0
40997 ,29.829,29.829,29.819,29.819,433,0
40998 ,30.073,30.073,30.006,30.006,1178,0
41002 ,30.47,30.47,30.442,30.442,1160,0
41009 ,28.948,28.997,28.948,28.997,930,0
41015 ,29.287,29.287,29.287,29.287,151,0
41016 ,29.694,29.733,29.694,29.733,339,0
41017 ,29.694,29.694,29.615,29.615,523,0
41022 ,29.015,29.15,28.918,28.958,2700,0
41023 ,29.132,29.132,29.132,29.132,206,0
41024 ,29.346,29.376,29.326,29.376,1751,0
41025 ,29.376,29.434,29.376,29.434,1136,0
41031 ,29.557,29.557,29.557,29.557,368,0
41032 ,29.248,29.278,29.248,29.278,660,0
41033 ,28.745,28.745,28.668,28.668,3640,0
41037 ,28.358,28.358,28.174,28.184,930,0
41038 ,27.99,28.078,27.99,28.078,400,0
41039 ,28.231,28.231,28.231,28.231,102,0
41040 ,28.164,28.174,28.164,28.174,309,0
41043 ,27.844,27.844,27.844,27.844,101,0
41044 ,27.834,27.834,27.834,27.834,124,0
41045 ,27.533,27.59,27.494,27.494,1238,0
41050 ,27.272,27.456,27.252,27.456,2577,0
41052 ,27.105,27.105,27.085,27.085,3608,0
41053 ,27.223,27.223,27.223,27.223,201,0
41059 ,27.204,27.204,27.204,27.204,101,0
41074 ,27.204,27.204,27.095,27.095,461,0
41075 ,27.272,27.272,27.252,27.252,1441,0
41079 ,28.049,28.049,28.019,28.019,309,0
41080 ,27.874,27.874,27.874,27.874,101,0
41086 ,26.933,26.933,26.806,26.923,1568,0
41087 ,27.029,27.085,27.029,27.085,312,0
41088 ,26.816,26.876,26.816,26.876,206,0
41089 ,27.62,27.62,27.62,27.62,309,0
41095 ,27.912,27.99,27.912,27.97,1313,0
41096 ,27.698,27.698,27.639,27.639,558,0
41100 ,27.63,27.63,27.63,27.63,126,0
41102 ,27.038,27.038,27.038,27.038,168,0
41106 ,26.96,26.96,26.951,26.951,513,0
41107 ,27.009,27.125,27.009,27.125,449,0
41108 ,27.331,27.331,27.331,27.331,1133,0
41110 ,27.115,27.115,27.115,27.115,122,0
41113 ,26.399,26.399,26.399,26.399,154,0
41115 ,26.846,26.846,26.846,26.846,101,0
41116 ,27.504,27.504,27.504,27.504,152,0
41117 ,27.874,27.99,27.786,27.99,950,0
41120 ,27.922,27.922,27.922,27.922,112,0
41122 ,28.087,28.087,27.903,27.903,291,0
41123 ,27.301,27.301,27.301,27.301,14120,0
41124 ,28.087,28.087,28.087,28.087,411,0
41128 ,28.415,28.415,28.415,28.415,411,0
41130 ,28.842,28.842,28.483,28.483,283,0
41136 ,28.212,28.249,28.212,28.249,233,0
41144 ,28.174,28.174,28.174,28.174,528,0
41148 ,28.308,28.308,28.308,28.308,101,0
41149 ,28.358,28.358,28.358,28.358,101,0
41151 ,27.99,28.049,27.99,28.049,206,0
41156 ,28.358,28.358,28.096,28.096,618,0
41158 ,28.648,28.648,28.648,28.648,101,0
41163 ,28.754,28.793,28.754,28.793,387,0
41164 ,28.833,28.833,28.783,28.813,3248,0
41166 ,29.529,29.529,29.529,29.529,512,0
41170 ,29.045,29.045,29.045,29.045,101,0
41171 ,28.997,29.356,28.997,29.306,2606,0
41172 ,29.094,29.228,29.075,29.228,4107,0
41173 ,29.386,29.386,29.376,29.376,1341,0
41177 ,29.426,29.426,28.638,28.638,542,0
41179 ,28.706,29.141,28.706,29.141,1524,0
41183 ,29.238,29.396,29.238,29.336,1650,0
41184 ,29.132,29.132,28.803,28.803,206,0
41185 ,28.726,28.726,28.726,28.726,201,0
41191 ,28.678,28.688,28.668,28.688,317,0
41201 ,29.035,29.035,29.035,29.035,206,0
41206 ,28.803,28.803,28.803,28.803,177,0
41207 ,28.638,30.054,28.638,28.842,4748,0
41208 ,28.958,28.958,28.908,28.938,3527,0
41213 ,28.938,28.938,28.938,28.938,824,0
41214 ,28.948,29.278,28.948,29.278,1067,0
41220 ,29.085,29.085,28.833,28.833,4048,0
41222 ,28.502,28.502,28.502,28.502,206,0
41225 ,28.608,28.688,28.578,28.688,992,0
41227 ,28.453,28.453,28.453,28.453,2063,0
41228 ,27.883,27.941,27.883,27.903,720,0
41232 ,28.415,28.502,28.348,28.453,1135,0
41233 ,28.568,28.568,28.558,28.558,647,0
41234 ,28.473,28.628,28.463,28.548,3610,0
41236 ,28.948,29.113,28.948,29.015,3507,0
41239 ,28.87,29.065,28.87,29.065,1256,0
41240 ,29.025,29.228,28.988,29.035,3094,0
41241 ,28.948,29.491,28.833,29.491,5218,0
41242 ,29.675,29.704,29.605,29.704,411,0
41243 ,29.509,29.557,29.509,29.537,411,0
41246 ,29.462,29.615,29.462,29.596,2139,0
41247 ,29.743,29.743,29.5,29.5,1133,0
41248 ,29.714,29.714,29.714,29.714,413,0
41249 ,29.809,29.809,29.665,29.665,786,0
41250 ,29.966,29.966,29.665,29.665,1032,0
41254 ,30.063,30.063,29.976,29.976,206,0
41255 ,30.006,30.044,30.006,30.044,1133,0
41257 ,29.897,29.996,29.897,29.907,1650,0
41260 ,29.916,29.966,29.877,29.877,618,0
